CoaID,LotNo,ItemCode,ItemName,VendorName,InspectDate,Parameter,TestMethod,LSL,USL,MeasuredValue,Result
C021,LOT021,RM001,ABS Resin,A사,2026-05-04,Moisture,A,0.00,0.50,0.22,PASS
C021,LOT021,RM001,ABS Resin,A사,2026-05-04,Purity,A,99.00,100.00,99.48,PASS
C022,LOT022,RM001,ABS Resin,A사,2026-05-11,Moisture,A,0.00,0.50,0.21,PASS
C022,LOT022,RM001,ABS Resin,A사,2026-05-11,Purity,A,99.00,100.00,99.55,PASS
C023,LOT023,RM001,ABS Resin,A사,2026-05-18,Moisture,A,0.00,0.50,0.23,PASS
C023,LOT023,RM001,ABS Resin,A사,2026-05-18,Purity,A,99.00,100.00,99.51,PASS
C024,LOT024,RM001,ABS Resin,A사,2026-05-25,Moisture,A,0.00,0.50,0.24,PASS
C024,LOT024,RM001,ABS Resin,A사,2026-05-25,Purity,A,99.00,100.00,99.46,PASS
C025,LOT025,RM001,ABS Resin,A사,2026-06-01,Moisture,A,0.00,0.50,0.23,PASS
C025,LOT025,RM001,ABS Resin,A사,2026-06-01,Purity,A,99.00,100.00,99.53,PASS
C026,LOT026,RM001,ABS Resin,A사,2026-06-08,Moisture,A,0.00,0.50,0.25,PASS
C026,LOT026,RM001,ABS Resin,A사,2026-06-08,Purity,A,99.00,100.00,99.50,PASS
C027,LOT027,RM001,ABS Resin,A사,2026-06-15,Moisture,A,0.00,0.50,0.26,PASS
C027,LOT027,RM001,ABS Resin,A사,2026-06-15,Purity,A,99.00,100.00,99.44,PASS
C028,LOT028,RM001,ABS Resin,A사,2026-06-22,Moisture,A,0.00,0.50,0.25,PASS
C028,LOT028,RM001,ABS Resin,A사,2026-06-22,Purity,A,99.00,100.00,99.57,PASS
C029,LOT029,RM001,ABS Resin,A사,2026-06-29,Moisture,A,0.00,0.50,0.27,PASS
C029,LOT029,RM001,ABS Resin,A사,2026-06-29,Purity,A,99.00,100.00,99.49,PASS
C030,LOT030,RM001,ABS Resin,A사,2026-07-06,Moisture,A,0.00,0.50,0.26,PASS
C030,LOT030,RM001,ABS Resin,A사,2026-07-06,Purity,A,99.00,100.00,99.52,PASS
C031,LOT031,RM001,ABS Resin,A사,2026-07-13,Moisture,A,0.00,0.50,0.28,PASS
C031,LOT031,RM001,ABS Resin,A사,2026-07-13,Purity,A,99.00,100.00,99.47,PASS
C032,LOT032,RM001,ABS Resin,A사,2026-07-20,Moisture,A,0.00,0.50,0.27,PASS
C032,LOT032,RM001,ABS Resin,A사,2026-07-20,Purity,A,99.00,100.00,99.54,PASS
C033,LOT033,RM001,ABS Resin,A사,2026-07-27,Moisture,A,0.00,0.50,0.29,PASS
C033,LOT033,RM001,ABS Resin,A사,2026-07-27,Purity,A,99.00,100.00,99.50,PASS
C034,LOT034,RM001,ABS Resin,A사,2026-08-03,Moisture,A,0.00,0.50,0.28,PASS
C034,LOT034,RM001,ABS Resin,A사,2026-08-03,Purity,A,99.00,100.00,99.45,PASS
C035,LOT035,RM001,ABS Resin,A사,2026-08-10,Moisture,B,0.00,0.50,0.30,PASS
C035,LOT035,RM001,ABS Resin,A사,2026-08-10,Purity,B,99.00,100.00,99.53,PASS
C036,LOT036,RM001,ABS Resin,A사,2026-08-17,Moisture,B,0.00,0.50,0.29,PASS
C036,LOT036,RM001,ABS Resin,A사,2026-08-17,Purity,B,99.00,100.00,99.48,PASS
C037,LOT037,RM001,ABS Resin,A사,2026-08-24,Moisture,B,0.00,0.50,0.31,PASS
C037,LOT037,RM001,ABS Resin,A사,2026-08-24,Purity,B,99.00,100.00,99.56,PASS
C038,LOT038,RM001,ABS Resin,A사,2026-08-31,Moisture,B,0.00,0.50,0.30,PASS
C038,LOT038,RM001,ABS Resin,A사,2026-08-31,Purity,B,99.00,100.00,99.51,PASS
C039,LOT039,RM001,ABS Resin,A사,2026-09-07,Moisture,B,0.00,0.50,0.32,PASS
C039,LOT039,RM001,ABS Resin,A사,2026-09-07,Purity,B,99.00,100.00,99.46,PASS
C040,LOT040,RM001,ABS Resin,A사,2026-09-14,Moisture,B,0.00,0.50,0.31,PASS
C040,LOT040,RM001,ABS Resin,A사,2026-09-14,Purity,B,99.00,100.00,99.52,PASS
