Lot,Date,Supplier,Moisture,Purity,Test_Method
LOT001,2025-12-15,A사,0.14,99.52,A
LOT002,2025-12-22,A사,0.13,99.47,A
LOT003,2025-12-29,A사,0.15,99.55,A
LOT004,2026-01-05,A사,0.14,99.50,A
LOT005,2026-01-12,A사,0.16,99.44,A
LOT006,2026-01-19,A사,0.14,99.53,A
LOT007,2026-01-26,A사,0.13,99.49,A
LOT008,2026-02-02,A사,0.15,99.57,A
LOT009,2026-02-09,A사,0.14,99.46,A
LOT010,2026-02-16,A사,0.15,99.51,A
LOT011,2026-02-23,A사,0.13,99.54,A
LOT012,2026-03-02,A사,0.14,99.48,A
LOT013,2026-03-09,A사,0.16,99.43,A
LOT014,2026-03-16,A사,0.15,99.52,A
LOT015,2026-03-23,A사,0.14,99.56,A
LOT016,2026-03-30,A사,0.13,99.49,A
LOT017,2026-04-06,A사,0.15,99.51,A
LOT018,2026-04-13,A사,0.14,99.45,A
LOT019,2026-04-20,A사,0.16,99.53,A
LOT020,2026-04-27,A사,0.14,99.50,A
