Lot,Date,Supplier,Moisture,Purity,Test_Method
001,2025-12-15,A사,0.14,99.52,A
002,2025-12-22,A사,0.13,99.47,A
003,2025-12-29,A사,0.15,99.55,A
004,2026-01-05,A사,0.14,99.50,A
005,2026-01-12,A사,0.16,99.44,A
006,2026-01-19,A사,0.14,99.53,A
007,2026-01-26,A사,0.13,99.49,A
008,2026-02-02,A사,0.15,99.57,A
009,2026-02-09,A사,0.14,99.46,A
010,2026-02-16,A사,0.15,99.51,A
011,2026-02-23,A사,0.13,99.54,A
012,2026-03-02,A사,0.14,99.48,A
013,2026-03-09,A사,0.16,99.43,A
014,2026-03-16,A사,0.15,99.52,A
015,2026-03-23,A사,0.14,99.56,A
016,2026-03-30,A사,0.13,99.49,A
017,2026-04-06,A사,0.15,99.51,A
018,2026-04-13,A사,0.14,99.45,A
019,2026-04-20,A사,0.16,99.53,A
020,2026-04-27,A사,0.14,99.50,A
021,2026-05-04,A사,0.22,99.48,A
022,2026-05-11,A사,0.21,99.55,A
023,2026-05-18,A사,0.23,99.51,A
024,2026-05-25,A사,0.24,99.46,A
025,2026-06-01,A사,0.23,99.53,A
026,2026-06-08,A사,0.25,99.50,A
027,2026-06-15,A사,0.26,99.44,A
028,2026-06-22,A사,0.25,99.57,A
029,2026-06-29,A사,0.27,99.49,A
030,2026-07-06,A사,0.26,99.52,A
031,2026-07-13,A사,0.28,99.47,A
032,2026-07-20,A사,0.27,99.54,A
033,2026-07-27,A사,0.29,99.50,A
034,2026-08-03,A사,0.28,99.45,A
035,2026-08-10,A사,0.30,99.53,B
036,2026-08-17,A사,0.29,99.48,B
037,2026-08-24,A사,0.31,99.56,B
038,2026-08-31,A사,0.30,99.51,B
039,2026-09-07,A사,0.32,99.46,B
040,2026-09-14,A사,0.31,99.52,B
